station_id,station_name
3003, Broome Airport 
9021, Perth Airport 
9999, Albany Airport 
12038, Kalgoorlie-Boulder Airport 
18192, North Shields (Port Lincoln AWS) 
23090, Adelaide (Kent Town) 
24048, Renmark Aero 
26021, Mount Gambier Aero 
31011, Cairns Aero 
32040, Townsville Aero 
40764, Gold Coast Seaway 
40842, Brisbane Aero 
61390, Newcastle University 
66022, Fort Denison 
67113, Penrith Lakes AWS 
68241, Albion Park (Wollongong Airport) 
70339, Tuggeranong (Isabella Plains) AWS 
70351, Canberra Airport 
72160, Albury Airport AWS 
81123, Bendigo Airport 
86338, Melbourne (Olympic Park) 
89002, Ballarat Aerodrome 
